gov_budget_budget_fiscal_year,gov_budget_government_unit_id,gov_budget_fund_type_code,gov_budget_revenue_taxes_total,gov_budget_revenue_fees_total,gov_budget_revenue_intergov_total,gov_budget_revenue_charges_services,gov_budget_expenditure_public_safety,gov_budget_expenditure_education,gov_budget_expenditure_health,gov_budget_expenditure_transport,gov_budget_expenditure_housing,gov_budget_expenditure_general_gov,gov_budget_capital_outlay_total,gov_budget_debt_service_total,gov_budget_pension_contribution_total,gov_budget_rainy_day_fund_balance,gov_budget_general_fund_balance,gov_budget_audit_opinion_code,gov_budget_cash_flow_stress_index
2013,GOV97400666,GOVWGXUA,41343886,391340,2565769,76684262,9715442,55958541,532443,608324,423422359,873701551,513424,val_974e_00666,val_974e_00666,147417,50278,GOVA8BOQ,74.17
2026,GOV97400667,GOVBY2B9,45303055,554192610,526069140,54187381,30558,6871970,50094,761735424,562110606,476986,5362932,val_974e_00667,val_974e_00667,417872,7508985,GOVRGGJD,96.37
2015,GOV97400668,GOVP73R6,482028865,3948777,46464,4911882,4695846,491983,7389099,20078,771487,4191693,457398452,val_974e_00668,val_974e_00668,46560,77373784,GOV4W9CN,83.35
2020,GOV97400669,GOVCW134,448584479,65123,69455,700054196,754901138,55601,57880523,38774,1058693,78224526,749589675,val_974e_00669,val_974e_00669,226097147,489915402,GOVCD4J0,35.86
2025,GOV97400670,GOVE7H8C,5539662,62399,475989842,47785249,699275418,3439162,3705087,565644,3799173,623795,371440,val_974e_00670,val_974e_00670,490052888,366847277,GOVVOMVV,54.62
2010,GOV97400671,GOVO3IYX,507944574,5359704,5873333,455910,721305714,66137,4148702,4360374,23062,706869,68505,val_974e_00671,val_974e_00671,718815470,43146486,GOV8G4F1,56.3
2014,GOV97400672,GOVQZZ71,35788098,41564,3664670,8373357,14985,68324209,603215,4821566,459050768,2696557,713597525,val_974e_00672,val_974e_00672,655315970,445056405,GOVVP675,66.95
2013,GOV97400673,GOV8B0YP,50927719,31390215,4691091,28829,577436,69833123,12844,597695686,34433083,378287483,53804906,val_974e_00673,val_974e_00673,425091,57760,GOVRLA2H,44.4
2022,GOV97400674,GOVJKH65,445361,56915950,675180686,18992,66058988,36005543,6105689,53353873,315827277,50423613,75764529,val_974e_00674,val_974e_00674,25495,57726210,GOV6X3T6,11.54
2016,GOV97400675,GOVEZW6F,5596886,676200,497775,5628111,678645902,6135696,62557311,55094,348309,53797168,1021242018,val_974e_00675,val_974e_00675,53962081,5510879,GOVGHDSJ,95.28
2015,GOV97400676,GOVQBSU8,67602005,58016,68095,2746293,46552791,67306,5397310,322998922,59269720,5359229,275530784,val_974e_00676,val_974e_00676,648539,577654892,GOVTN383,33.05
2026,GOV97400677,GOV3ZZ2J,61624,257198584,379732638,196557,428744558,49822,33382,6463571,84008015,53751931,592390295,val_974e_00677,val_974e_00677,447444,69130,GOVV7EXJ,96.18
2017,GOV97400678,GOVB3PSK,272803704,7298823,553911,778579,7540186,79488931,42262,84298,883156250,733721329,53949,val_974e_00678,val_974e_00678,723799,33932029,GOVXD4J3,9.06
2021,GOV97400679,GOVC90V4,853570,1877411,1358942,392599801,408614437,460933,1785193,563676440,114200234,338958885,4954768,val_974e_00679,val_974e_00679,571448666,261765900,GOVNITH0,93.38
2025,GOV97400680,GOV6ZNDW,3404126,386908747,79447802,530385,236057653,145432,18093767,4114772,29838,526093,3436438,val_974e_00680,val_974e_00680,12796100,5058262,GOV4J6WB,16.64
2019,GOV97400681,GOVXUSVE,88849587,21957,476725216,269885,72440596,507404,4340533,9686843,262887277,338647,251004143,val_974e_00681,val_974e_00681,8764857,774379,GOV0DSQ9,32.55
2021,GOV97400682,GOVUBSY6,309713267,35049,515674773,661799483,51577,67825630,90701,4248378,8384741,262259102,928411743,val_974e_00682,val_974e_00682,32015343,53236,GOV6E6O7,30.34
2012,GOV97400683,GOV8SKJ2,3775778,1083263,36319344,458228205,322234,36150,37990381,35592,27209,37602,32828316,val_974e_00683,val_974e_00683,47019,232325716,GOV5WX8B,84.05
2022,GOV97400684,GOVJS9ZF,766338705,719301,7354814,38962,243012170,878918,88357845,141599002,269029,660383,23213862,val_974e_00684,val_974e_00684,6418206,628890350,GOVDFPMW,79.8
2012,GOV97400685,GOV3BYT0,22562999,51238287,3652255,57045,379297068,204725067,582199977,3785781,8593944,539892496,3035062,val_974e_00685,val_974e_00685,7916590,534079931,GOVVFX3W,25.63
2012,GOV97400686,GOVMBTXH,790735375,19211,9285,53829,618966,384134513,548927432,5627249,79524,341902,6130900,val_974e_00686,val_974e_00686,60822438,72043347,GOVKCLMA,84.61
2011,GOV97400687,GOV3P5MY,1918348,195759,37224,68441,437338,35095156,3404784,712398184,737273791,447450,52067755,val_974e_00687,val_974e_00687,41542785,603683027,GOVJPZEX,97.33
2011,GOV97400688,GOV4ON52,452835,554295437,27623754,35398,426331,83207627,57910339,700384689,609692221,74545204,51009,val_974e_00688,val_974e_00688,72139433,236471018,GOV498G5,6.74
2025,GOV97400689,GOVCBDOA,39477176,85095959,649712,487122590,41922,280302,479544456,85223876,471984216,44103,33861603,val_974e_00689,val_974e_00689,62353,97086986,GOVXZCUR,74.36
2019,GOV97400690,GOV7PDP2,582796174,543748152,108132814,6200574,36719,678964,4740640,62204,5884993,3091250,63373,val_974e_00690,val_974e_00690,41029940,747553,GOV8Z0CC,73.73
2019,GOV97400691,GOVXV04Z,74157,47165,47139404,56625,63535,5013881,59569611,861027,53019,44551393,382558,val_974e_00691,val_974e_00691,94958027,760437,GOV6EYR9,21.41
2025,GOV97400692,GOV1M3UL,6692654,14400,517925436,699461,51770532,29618798,61904,98439,49066,434981,68704831,val_974e_00692,val_974e_00692,572616,517057950,GOV9JDUJ,51.21
2024,GOV97400693,GOV37B1U,44754896,68455,29079022,240618954,24139379,7852344,47732,4328134,357637,353742,525617645,val_974e_00693,val_974e_00693,7059535,53581750,GOVZ20EM,63.16
2017,GOV97400694,GOVCXSAV,4883328,930536,34351,300874,5390915,61379,463433,6362270,4738835,394104921,705735,val_974e_00694,val_974e_00694,237024386,64064,GOVXCNBZ,27.47
2015,GOV97400695,GOVLT3LL,52474672,9218063,2935,49863132,796619,72339577,23954,350756965,371943,34768227,519251622,val_974e_00695,val_974e_00695,509887717,403271,GOVS8DYV,7.38
2014,GOV97400696,GOVTK299,3979470,6139815,490105,1360570,48221,2626020,623778,32728388,62065782,30530,4390007,val_974e_00696,val_974e_00696,78089482,76540721,GOV3BGHE,89.35
2015,GOV97400697,GOVPSMK6,5418731,674027,21089,3005823,48739398,309594183,26360354,43549685,77324,4440961,4855761,val_974e_00697,val_974e_00697,402520,46133,GOVPGF34,69.91
2010,GOV97400698,GOVBED3M,649110430,586124,65098077,665261641,35189,700241831,3220814,27903328,3964825,42097,7119687,val_974e_00698,val_974e_00698,75080,582826066,GOVHOQIM,5.0
2017,GOV97400699,GOVQ32P2,15910,35400,387806337,1980380,314288,794813,30428,4800839,8010,747957,371033,val_974e_00699,val_974e_00699,23563,53629,GOVD4W7G,68.47
2024,GOV97400700,GOVFOVFD,691247808,470509,927340550,29203582,68060607,466165,684538,6553882,522109274,215647,63534501,val_974e_00700,val_974e_00700,403399,575081,GOVR7JL0,46.05
2012,GOV97400701,GOVWUWDL,93374249,188465,78722,352523,773394744,59419571,235464803,77151240,2319104,62777,724576444,val_974e_00701,val_974e_00701,598358,74559,GOVQZEZZ,96.83
2013,GOV97400702,GOVDAE93,154927301,63848,2720496,74465,3935462,594735,386817,319010615,7164053,875063,58971701,val_974e_00702,val_974e_00702,604393,48932054,GOVMALLK,41.23
2026,GOV97400703,GOVCMIGR,214421,37237,565494962,47271061,61804213,505023,23132,78172,72124,542498,301221920,val_974e_00703,val_974e_00703,3887843,69033661,GOVRX6R9,69.61
2019,GOV97400704,GOVTK5QM,54469,4870791,75205836,34570200,22149,700505123,638977,28698,45934637,45199363,594003387,val_974e_00704,val_974e_00704,297650,36870016,GOVII538,36.78
2024,GOV97400705,GOVMHYW7,502916,5279925,64187622,37662,66025,6798145,111297952,1045538841,34098816,766184081,230101,val_974e_00705,val_974e_00705,101484,307099,GOV2HSCG,11.85
2018,GOV97400706,GOVQ5Y3L,4752118,86435,26977,2886264,53230,375291118,169250338,59331267,692375172,361713,862208,val_974e_00706,val_974e_00706,51248443,67087,GOVXWA7T,79.45
2026,GOV97400707,GOVJVR1O,621518208,583391,71982882,1461262,41904,68803,541098,52915,640379495,60874588,40257,val_974e_00707,val_974e_00707,424879,127510587,GOVM9G0U,7.52
2017,GOV97400708,GOVBAEAZ,14924,26253792,6720257,4288507,733889104,352379,472613,206147,46135,4413023,2517,val_974e_00708,val_974e_00708,532075,41199993,GOVYHYRV,3.23
2010,GOV97400709,GOVJFSH7,30357,296500,69218,339132,665812350,522948783,5023589,49212471,222364,54654834,49891296,val_974e_00709,val_974e_00709,43093,5775342,GOVB6BEX,60.31
2019,GOV97400710,GOVKAB8W,583031029,975803721,213287,44972322,729245,38068,47541,630339,43391411,4410809,59066677,val_974e_00710,val_974e_00710,595093559,427053851,GOVQFQCR,34.23
2020,GOV97400711,GOVVFO9K,1675510,37066215,373977,487337034,37053214,220316597,48569,30316,50526,709966,43197,val_974e_00711,val_974e_00711,7179368,312379964,GOV0P3K7,83.54
2021,GOV97400712,GOVRWFGR,7959745,47437,520126,154699,604314887,386297,778237,130169250,553577662,216927465,251593,val_974e_00712,val_974e_00712,10008655,565005513,GOVY5B8Z,78.79
2010,GOV97400713,GOVNFAYD,480387335,412211536,648639,529370702,50204,41880037,6308397,4740527,54122,507290,3793761,val_974e_00713,val_974e_00713,5348000,711193729,GOV85ZO3,24.69
2018,GOV97400714,GOV3YW31,100989,68392,7132620,94160622,51026,260398,537957185,44069513,6421205,3853746,200994,val_974e_00714,val_974e_00714,406519,463570,GOV3KT9I,11.53
2014,GOV97400715,GOV446OM,284991107,439659,732800673,4945700,89401,58730060,40629,51142471,358323801,7290622,473444607,val_974e_00715,val_974e_00715,3904304,67663,GOVMOQKF,71.61
2015,GOV97400716,GOV94419,6869,4158760,586370,359399,3934465,215532,322502460,7193440,20056454,485899523,7046018,val_974e_00716,val_974e_00716,6180632,674012894,GOVKLAW4,99.22
2012,GOV97400717,GOVNXVSI,562810,57598900,5839640,424736,717950,37704659,52880082,249126853,601261281,813612,50866271,val_974e_00717,val_974e_00717,46756048,2061307,GOV0ZNWJ,68.51
2010,GOV97400718,GOVOZ6CH,600931712,572307176,26727,20648,640420163,461532495,2077469,552070363,349298,19372,48382982,val_974e_00718,val_974e_00718,7686602,48053832,GOVL65GN,45.58
2021,GOV97400719,GOV6BB3T,4787905,253460979,493776173,278858114,796646943,40485,567660149,712793,4239498,5917065,39403,val_974e_00719,val_974e_00719,2996425,49647,GOV6SNF9,11.93
2024,GOV97400720,GOVB1QP2,27482300,323786401,55823,491009,83140,63126548,32296,44404020,47052,1090880690,38647860,val_974e_00720,val_974e_00720,19028247,4015562,GOVYL2QV,19.12
2022,GOV97400721,GOVC71AV,7414649,56973,3468806,3707128,363320,6075985,472372,6469325,27101510,456952327,2502005,val_974e_00721,val_974e_00721,465014741,56748026,GOV2LJQW,66.8
2016,GOV97400722,GOVQBTAM,76100,765820,3734815,4142731,483413,699614104,559233197,443813,224348,47960068,62322972,val_974e_00722,val_974e_00722,576681729,5678380,GOVKKOXD,11.7
2013,GOV97400723,GOVTT9FN,72507,58628026,58604569,594304,81778278,804475,417116,219827575,715277275,51874818,523472243,val_974e_00723,val_974e_00723,49278365,392221,GOVKZCEW,12.24
2022,GOV97400724,GOVOMSZ2,758340,581206113,5257568,6292153,55599014,2478624,52544040,76024,36579,351990,62355,val_974e_00724,val_974e_00724,218430402,53715525,GOVZMIL2,26.86
2014,GOV97400725,GOVSQDZA,358117,569096071,57269,86199,645191,57756,6191082,415831960,419362495,8493107,73894,val_974e_00725,val_974e_00725,5724496,542834,GOVEAXJQ,77.94
2012,GOV97400726,GOVGVWBK,4330362,5532875,66308836,5544929,6064885,570406214,541322233,44640249,4770508,32213,1259958,val_974e_00726,val_974e_00726,6812348,775320,GOVURGMZ,64.14
2021,GOV97400727,GOVVKRBK,65849118,51169,687603847,49401,624937,127321,78535857,22354,738501349,658291,77520,val_974e_00727,val_974e_00727,712029,561530992,GOVWPXHD,7.41
2019,GOV97400728,GOVO1IOG,11814,50697,50510662,17016,143959208,46784171,40501,980922,645864,24059564,34543,val_974e_00728,val_974e_00728,291905,2891381,GOVAS629,94.1
2012,GOV97400729,GOV7PM41,7395511,4089708,43490746,8643967,743264,26557,421582,63061405,137546348,68126000,505100,val_974e_00729,val_974e_00729,492177403,26212,GOVJCQZA,27.9
2022,GOV97400730,GOVBNX3N,371325143,4996343,67403745,2337280,46557252,516701,629036,48545720,2432822,7333802,5360510,val_974e_00730,val_974e_00730,8540275,64179,GOVME08I,3.24
2026,GOV97400731,GOVYI1QH,490200583,75518390,26539,457410,41110225,5229198,44063,47792,349580577,31649838,82372,val_974e_00731,val_974e_00731,1960779,82157,GOVFIQM1,66.7
2024,GOV97400732,GOVTU8KX,50123,765824,575768,4945334,24851,35156161,407733,58948,5834140,42140141,4763090,val_974e_00732,val_974e_00732,6202502,33432408,GOVZOZ6T,20.59
2013,GOV97400733,GOVOM9F4,22826104,583742284,345706,4421343,235935,5231459,46986,31552572,80602,538834469,5673337,val_974e_00733,val_974e_00733,394588,51807,GOV2TIUE,66.31
2026,GOV97400734,GOVZQ44V,209059,14812381,142095,2650432,217766346,5799680,400831,47704,2705897,60575498,450818,val_974e_00734,val_974e_00734,208635,48590278,GOVD44BQ,72.11
2021,GOV97400735,GOVHR8RO,52956,28592669,461125038,79724,691443,27799974,728815470,61174,509184,202415276,69648448,val_974e_00735,val_974e_00735,379827291,401982668,GOV7Z5ZF,87.52
2017,GOV97400736,GOVGYYO4,445316,86688403,327220036,659819376,55062060,8191657,599830234,65157726,57694,48197,81408,val_974e_00736,val_974e_00736,440444182,63855013,GOVK28PM,17.67
2025,GOV97400737,GOVDXRHB,570923,6643930,4736789,42711,26117565,472925769,344609831,28364261,319785,104073,4917688,val_974e_00737,val_974e_00737,314977443,5403419,GOV1P16L,94.46
2022,GOV97400738,GOVRZE6C,460899,609544,49335359,7637320,589748920,318615,69047851,791059421,176148998,280329348,410482,val_974e_00738,val_974e_00738,34501694,58672575,GOV0I9CD,43.53
2017,GOV97400739,GOVUV87P,582720645,28811633,307218,71521358,405196,549089,733408,434345965,452566381,39862,37409360,val_974e_00739,val_974e_00739,46217,3070610,GOVAZDC8,66.79
2021,GOV97400740,GOVYNV69,885662,8123681,6138813,80674728,583650,48040,53474,528724,53739658,61046,56730849,val_974e_00740,val_974e_00740,45470,250970,GOVI2S68,15.67
2024,GOV97400741,GOVY1TWG,51952814,703650131,273654,536666,64265,73894,395667,54357,50706364,110536862,614397,val_974e_00741,val_974e_00741,4775664,59939256,GOVDSGGF,33.55
2024,GOV97400742,GOVP7IMY,557308,2032911,529328,29135,47333450,351104,44808507,36346,408904,82134,559712,val_974e_00742,val_974e_00742,5065706,73354395,GOVNXG4Z,7.82
2011,GOV97400743,GOVDZZ14,49752474,75218,11496199,408706351,58574713,48532054,71591,38556,47809424,4911031,35938,val_974e_00743,val_974e_00743,807409,397398,GOVRYW1L,53.84
2013,GOV97400744,GOV1TYH7,216550,553802,53204,608971,723884,432674974,9580634,2422563,486835,47163,56783,val_974e_00744,val_974e_00744,538626,408314195,GOV31Y7I,93.39
2020,GOV97400745,GOV6G8U7,47203896,51432,44192291,344395,466794,47391,91129,6549614,822723,280845,62680,val_974e_00745,val_974e_00745,690404,55014641,GOVUOIK5,70.66
2010,GOV97400746,GOV8379B,485772,27165407,499219122,11200,45316425,593947,409684836,603513909,36305214,336922688,229986,val_974e_00746,val_974e_00746,667983073,2906434,GOV4RROK,44.44
2021,GOV97400747,GOVL6UJE,811199,306022647,457260338,690754,1949771,36482,5194091,293338568,390644610,49622,9012995,val_974e_00747,val_974e_00747,37621,4332035,GOV5OCBG,76.12
2024,GOV97400748,GOVC6VRC,770474,48681,336305,536246,32898002,1778943,20851668,5929858,37419296,789835742,89740,val_974e_00748,val_974e_00748,18747,709061,GOVOSJ7F,55.95
2013,GOV97400749,GOVEH5IA,36309,41435252,796074,45856590,38820954,61023,745336,74400,32965,402937444,58084,val_974e_00749,val_974e_00749,886343,52671,GOV7H14O,53.86
2013,GOV97400750,GOVPCUEK,43633,5348645,30051208,873218,4727467,663773533,7352244,4825871,53005160,6921625,816189399,val_974e_00750,val_974e_00750,4737526,58831,GOVNFGAN,14.74
2023,GOV97400751,GOVUOSMP,5402934,669325529,227372,78963,26362,3356355,4698657,2763337,528599,318221606,498427542,val_974e_00751,val_974e_00751,73558,51891,GOVC9EJ9,47.07
2012,GOV97400752,GOVH5OC8,44649,21069,28612989,326106,63678,6092844,411867,55687,61391,351356,591716,val_974e_00752,val_974e_00752,3093520,388603302,GOV9NWAJ,22.54
2026,GOV97400753,GOVX0YPS,713229,336929493,25190,778431055,47148,5393776,680906,38044369,34370,46190,411416,val_974e_00753,val_974e_00753,1071472984,867952980,GOVQ6EAJ,5.92
2011,GOV97400754,GOV8RMH9,60404,61807,44412,691209,55388660,3859944,486374,53034,899945,91272,4049150,val_974e_00754,val_974e_00754,107853,408904096,GOV0HFB9,73.6
2023,GOV97400755,GOVCVALL,54141033,500911587,53412,6398044,7249967,78827306,801280668,29857217,4892735,396051,2545511,val_974e_00755,val_974e_00755,8367482,21248,GOV1JALQ,1.01
2013,GOV97400756,GOVOMP9Q,56281595,91549,380341,828062,6424134,541964,648779627,8249710,637105,167510754,568406835,val_974e_00756,val_974e_00756,2450600,806691,GOVTVUQU,34.89
2010,GOV97400757,GOV2COW7,411093,393624989,38337677,56657576,529587,55517355,68695914,973547,2183432,298858517,61915288,val_974e_00757,val_974e_00757,23434038,744640810,GOVEPEOT,66.06
2015,GOV97400758,GOVNXL3U,427500262,851945241,399119,44405756,79520046,503635,8280154,438388082,63719899,570358718,3116551,val_974e_00758,val_974e_00758,4863888,171849,GOVFCE1F,88.17
2024,GOV97400759,GOVQBFMZ,354337,998252412,665508481,365740031,5404266,28835,662371568,50950798,671880074,16862685,57087,val_974e_00759,val_974e_00759,48776,106085155,GOVQ9NST,37.17
2019,GOV97400760,GOV2291O,11103114,748790105,312254037,40722418,429393,64186991,199205527,167194,70021,111533,81755,val_974e_00760,val_974e_00760,7627490,626062,GOV82BQK,47.8
2021,GOV97400761,GOV5CD9X,5380813,507342,28842327,778387834,37304750,48135471,1598997,23659400,34111521,27492,484972780,val_974e_00761,val_974e_00761,582533,79448621,GOVVQVD9,25.36
2015,GOV97400762,GOV7AJLB,34625,334902,37933737,9260539,31791351,533906,6908562,36099562,574140,590446,491453167,val_974e_00762,val_974e_00762,601879868,307003789,GOVVBSZE,99.67
2025,GOV97400763,GOVGR1RT,6235193,50825,354290,2380184,627316,14581877,565086201,51777620,1325959,555714204,774477,val_974e_00763,val_974e_00763,48812,52948,GOVZZA8K,52.86
2025,GOV97400764,GOVWXQB3,66024,66939363,634962,4879591,2182125,457537,255196961,431723,68139807,19805,449475852,val_974e_00764,val_974e_00764,21487270,3647247,GOVCHSE2,10.27
2017,GOV97400765,GOV480CB,7671677,41362,37994457,437027936,227907,24096261,407966,4650064,67605,10966667,187832,val_974e_00765,val_974e_00765,607450141,57484642,GOVIRH54,12.26
2022,GOV97400766,GOV9XPO2,6818473,35685,38393,76842598,523004,5228860,147296,715131220,67686,45985,378916649,val_974e_00766,val_974e_00766,6500080,743814,GOVQ3Z1K,19.21
2016,GOV97400767,GOVAQGHX,104455,713507329,603155008,940000,488122973,629549643,3014380,3272379,82334,395674,4499747,val_974e_00767,val_974e_00767,549581,547671,GOV1INNI,71.45
2015,GOV97400768,GOVIE1S1,28711,617503741,80770381,265365180,2215707,480951,2666,528853,5153589,3082755,5805301,val_974e_00768,val_974e_00768,338415355,35004033,GOVAIPMS,27.66
2010,GOV97400769,GOV6F2QU,415841396,308677,6649263,78457,413078,529694,6780332,64013905,34475249,6051908,72810724,val_974e_00769,val_974e_00769,32593,341977161,GOV6TRWS,64.53
2011,GOV97400770,GOV2ULYG,47436210,512459,551144,4520365,33086525,51050,537382845,28134,7875887,681479000,312829,val_974e_00770,val_974e_00770,790547414,476084,GOVKTUTQ,70.07
2020,GOV97400771,GOV65V88,36137,48487,521427573,2604159,415387,71662,57952,3916309,498571411,38555013,71561,val_974e_00771,val_974e_00771,4707218,6378043,GOVUIDSM,18.49
2018,GOV97400772,GOVPXCLA,45487354,14967402,537608680,459539,2906095,65354878,53140,529601912,24367960,411635689,805301281,val_974e_00772,val_974e_00772,44255497,5312,GOVQM9Q0,73.62
2013,GOV97400773,GOVC2264,57390411,48174233,374239448,35225,517285,756946101,5816253,534665,7081,33467856,4161279,val_974e_00773,val_974e_00773,593651,830757,GOVD7F9J,99.64
2015,GOV97400774,GOVJ72HU,88357,3196530,85579070,801610646,423475,32453,423648594,245721190,815954,515714,62638,val_974e_00774,val_974e_00774,32684660,52715,GOVGVMSZ,52.92
2010,GOV97400775,GOV9Q28W,3208282,725366,21484071,441669531,45316679,453231,218478986,9865030,473361408,74350,624911387,val_974e_00775,val_974e_00775,51084,494753233,GOVMNZMX,74.06
2024,GOV97400776,GOV01WMN,47854619,24694916,768501972,73744757,3985728,2939483,5700136,364403019,66469,239257577,844767,val_974e_00776,val_974e_00776,658806561,28107407,GOVEF8MW,78.57
2018,GOV97400777,GOVR0XVA,50982300,48699,64340,355366,59552194,877288170,2613125,57820160,39269002,554006789,37057,val_974e_00777,val_974e_00777,447623,3372960,GOVA2WYR,68.23
2025,GOV97400778,GOVM5OH7,44007,4379290,230331,879399,296496,224627,72457047,37118,63044154,87535317,7411254,val_974e_00778,val_974e_00778,15445,74070208,GOVDLOQG,52.82
2011,GOV97400779,GOVE33LI,57208769,679314856,35887,276054,79592838,563991900,77687592,461322,68570,1035338797,46189662,val_974e_00779,val_974e_00779,25951759,5831487,GOVCV1G3,7.76
