civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN000000621,1997,57,CITY,751711,-1.364,515907,417500,21.4,0.2482,0.5471,1,2,31,0,0.4348,4.507,6.48,12255,0
PLAN000000622,2014,30,STATE_HOUSE,737303,5.87,538541,447158,19.88,0.0305,0.3237,1,8,62,0,0.9661,17.774,37.32,24193,0
PLAN000000623,2019,32,SCHOOL,325606,7.415,244503,206840,48.84,0.0661,0.5944,1,12,18,1,0.0708,-11.798,89.44,2904,0
PLAN000000624,1996,1,STATE_HOUSE,19910,5.465,14715,12731,28.2,0.487,0.2896,1,6,67,0,0.851,-14.515,67.09,933,0
PLAN000000625,2007,58,STATE_SENATE,881073,5.415,641887,605797,87.07,0.1507,0.5868,1,9,75,0,0.9496,-39.479,74.14,7626,0
PLAN000000626,2016,16,CITY,734665,-6.767,549301,442429,83.85,0.2629,0.5558,1,10,17,1,0.5952,34.746,33.66,19226,0
PLAN000000627,1991,32,STATE_SENATE,567938,4.541,448096,393880,84.6,0.2662,0.0758,1,10,34,0,0.3104,-25.325,75.52,8879,0
PLAN000000628,1999,6,CONGRESSIONAL,662317,5.742,483083,437231,6.62,0.2492,0.6352,1,2,42,0,0.6768,-11.661,61.51,12323,0
PLAN000000629,2022,39,STATE_SENATE,387238,-5.925,303200,284515,23.62,0.1063,0.0277,0,10,59,0,0.0785,19.709,20.83,23251,0
PLAN000000630,1992,1,STATE_HOUSE,652491,-1.587,457977,415885,39.4,0.0486,0.8217,0,12,60,0,0.8643,25.21,45.52,15782,1
PLAN000000631,1994,49,STATE_SENATE,44181,-6.036,32596,30727,87.09,0.6614,0.3118,1,13,55,0,0.661,-25.379,47.22,19206,0
PLAN000000632,2021,27,JUDICIAL,942701,-3.924,758937,701053,73.2,0.3368,0.2612,1,5,43,0,0.4913,-27.108,39.53,1568,0
PLAN000000633,2016,21,STATE_HOUSE,747533,-4.887,569195,457344,6.76,0.2922,0.6481,0,20,53,0,0.3183,22.469,43.1,3585,0
PLAN000000634,2004,31,STATE_HOUSE,692867,6.371,500755,396685,28.75,0.7999,0.2205,1,0,53,1,0.675,-32.895,75.99,22487,0
PLAN000000635,2021,54,JUDICIAL,514690,0.797,365536,320070,61.6,0.2421,0.7104,1,20,19,0,0.9676,-38.537,41.06,16233,0
PLAN000000636,2008,3,CITY,450348,-0.566,308548,243001,60.61,0.2862,0.3331,1,1,11,0,0.3098,-0.241,80.95,3717,0
PLAN000000637,1997,29,CITY,268618,-2.755,209165,167873,39.42,0.1427,0.7577,1,11,61,0,0.8408,28.619,83.37,3058,0
PLAN000000638,1997,32,JUDICIAL,822158,1.442,568672,480075,82.36,0.2828,0.1264,1,17,17,0,0.1122,-7.545,49.23,4927,0
PLAN000000639,2025,2,STATE_HOUSE,260128,1.727,200165,178383,14.99,0.4848,0.2523,0,0,68,0,0.6921,8.582,17.81,3753,0
PLAN000000640,2010,27,CONGRESSIONAL,136177,-1.247,110230,90631,68.66,0.3144,0.7588,1,10,45,1,0.3906,13.515,9.65,12630,0
PLAN000000641,2024,33,STATE_HOUSE,533542,-0.569,420918,392765,90.76,0.0311,0.7512,1,10,25,0,0.0692,19.158,99.29,9118,0
PLAN000000642,2015,44,STATE_SENATE,443213,-5.384,334067,308975,4.13,0.4412,0.1702,1,0,48,0,0.5438,24.241,80.46,7419,0
PLAN000000643,2004,33,CITY,867148,-5.496,695386,661415,82.37,0.2212,0.4401,1,1,47,0,0.0671,36.598,13.55,19646,0
PLAN000000644,1992,29,STATE_SENATE,725954,-0.723,506549,468239,88.48,0.2297,0.7271,1,19,17,0,0.9348,27.757,34.29,17613,0
PLAN000000645,1991,16,STATE_HOUSE,148279,7.337,114969,94073,76.01,0.7927,0.2648,1,17,54,0,0.0922,-16.914,81.76,20779,0
PLAN000000646,1990,48,STATE_SENATE,832938,-4.475,567079,475042,6.4,0.4949,0.8023,0,3,6,0,0.3254,12.568,53.5,1315,0
PLAN000000647,2014,15,STATE_HOUSE,749692,-5.831,561632,494036,32.61,0.3977,0.2249,1,16,49,0,0.609,38.75,70.25,4259,1
PLAN000000648,1997,20,STATE_HOUSE,119986,-6.293,92354,86660,77.04,0.5278,0.2261,1,1,55,0,0.2124,-37.512,71.11,17737,0
PLAN000000649,2019,35,SCHOOL,81404,6.497,65700,58409,34.02,0.5735,0.6273,1,14,31,0,0.994,-19.635,66.48,14143,0
PLAN000000650,2005,40,CONGRESSIONAL,692587,6.562,558553,491507,25.27,0.2012,0.5109,1,8,47,0,0.8852,8.724,99.06,20454,0
PLAN000000651,2024,22,STATE_HOUSE,759843,-3.721,533135,423708,14.84,0.3159,0.465,1,8,11,1,0.3293,-36.504,79.45,10022,1
PLAN000000652,1996,45,STATE_HOUSE,674295,3.401,551990,461411,24.23,0.7091,0.5831,1,15,59,0,0.0959,-30.452,7.63,3985,0
PLAN000000653,2011,4,JUDICIAL,152206,4.312,124189,103704,69.93,0.6833,0.184,1,18,2,1,0.3161,-3.842,35.69,18943,0
PLAN000000654,2019,50,CITY,218771,-7.753,173451,166140,3.22,0.4657,0.5066,1,10,9,0,0.7153,3.014,5.65,12013,1
PLAN000000655,2020,53,SCHOOL,467637,7.234,324330,299224,34.96,0.2084,0.3127,1,18,29,1,0.8854,34.438,75.76,16503,0
PLAN000000656,2015,24,CONGRESSIONAL,300169,1.895,206488,181391,86.13,0.0597,0.6565,1,8,8,1,0.6054,3.838,25.06,22677,0
PLAN000000657,1992,41,CITY,680484,1.476,483605,431435,41.6,0.6272,0.2562,1,16,50,1,0.1624,-39.972,53.76,24110,0
PLAN000000658,1997,6,CONGRESSIONAL,487905,-4.56,341912,304704,75.09,0.6279,0.4313,1,16,68,0,0.6288,32.819,3.65,14427,0
PLAN000000659,2003,54,CONGRESSIONAL,419925,-2.468,325257,261101,55.13,0.3143,0.2417,0,7,49,0,0.5203,35.696,99.69,18430,0
PLAN000000660,1992,52,STATE_HOUSE,430534,-5.273,333182,291469,16.25,0.7989,0.1645,1,13,67,0,0.0841,5.062,90.36,2612,0
PLAN000000661,2001,44,SCHOOL,210064,5.949,143021,129227,60.6,0.6314,0.6468,1,7,56,0,0.6581,-20.254,94.37,19977,0
PLAN000000662,1990,58,SCHOOL,360046,-4.146,260569,237692,94.68,0.2499,0.7814,1,17,40,0,0.011,8.005,55.71,17036,0
PLAN000000663,1996,27,CITY,300462,0.891,210322,171568,12.47,0.529,0.0558,1,19,14,0,0.4227,-28.198,77.18,11482,0
PLAN000000664,1990,31,CONGRESSIONAL,691538,6.199,512072,419308,4.97,0.4311,0.3298,1,16,50,1,0.5492,-38.924,67.43,13843,0
PLAN000000665,1993,1,CITY,335045,6.165,235091,212832,11.83,0.1454,0.4569,1,6,59,0,0.8054,-22.159,62.55,17223,1
PLAN000000666,2017,57,STATE_HOUSE,251112,-7.264,174209,163372,50.42,0.0606,0.651,1,3,11,0,0.5062,-10.397,22.96,21490,0
PLAN000000667,2015,40,STATE_HOUSE,75766,3.153,51996,44504,85.48,0.5239,0.459,0,17,63,1,0.2806,-35.527,4.7,19875,0
PLAN000000668,1990,24,STATE_HOUSE,204494,2.592,166261,154284,21.34,0.0236,0.8273,1,9,34,0,0.911,-29.172,5.56,9534,0
PLAN000000669,2009,36,STATE_SENATE,339417,-1.255,247109,194729,68.97,0.0994,0.8093,1,9,77,0,0.3073,-6.99,97.47,9600,0
PLAN000000670,2013,34,CONGRESSIONAL,847843,-6.23,638807,566611,70.16,0.6801,0.2059,1,9,0,0,0.0177,-1.764,53.86,12525,0
PLAN000000671,1997,56,CITY,680495,7.824,469472,376189,14.58,0.1853,0.3597,1,13,64,0,0.5648,13.93,17.86,16049,0
PLAN000000672,2004,38,CONGRESSIONAL,396045,-2.429,284238,266067,11.98,0.186,0.0932,1,10,48,1,0.6964,-2.187,86.33,10000,0
PLAN000000673,2025,52,STATE_SENATE,257044,4.862,186015,157954,82.23,0.0618,0.2026,0,1,62,0,0.6667,-9.812,41.3,10843,1
PLAN000000674,2009,35,STATE_SENATE,681883,-7.094,550758,487100,51.28,0.1776,0.4249,0,9,0,0,0.0363,-39.225,63.88,2940,0
PLAN000000675,2008,26,CONGRESSIONAL,416423,1.434,336641,306312,50.13,0.3709,0.8298,1,19,43,0,0.7337,3.414,58.4,15854,0
PLAN000000676,2015,53,CITY,194735,-5.899,141324,115746,3.12,0.042,0.2147,1,16,50,0,0.7677,-23.849,17.66,11260,0
PLAN000000677,1996,21,STATE_HOUSE,873569,-4.727,598330,524207,41.06,0.367,0.3782,1,14,12,1,0.6994,17.936,84.29,2937,0
PLAN000000678,2021,44,STATE_HOUSE,529824,-0.953,408256,373884,34.37,0.3809,0.7954,1,11,57,1,0.8006,22.328,42.68,13895,1
PLAN000000679,1995,44,STATE_HOUSE,567118,5.532,454712,434700,62.71,0.5824,0.0599,1,4,69,0,0.8666,35.827,93.26,15248,0
PLAN000000680,1990,38,STATE_HOUSE,661748,2.922,490184,461456,77.65,0.7584,0.1329,1,2,59,0,0.0773,-8.613,38.24,5851,1
PLAN000000681,2019,60,STATE_HOUSE,678440,-0.34,504377,439418,29.41,0.7885,0.7494,0,2,45,0,0.2125,-27.102,35.47,14474,0
PLAN000000682,2012,18,STATE_SENATE,838525,0.139,592921,540461,55.07,0.1085,0.4295,1,10,43,0,0.7844,-39.038,60.18,7339,0
PLAN000000683,2006,8,STATE_SENATE,375051,2.235,288493,247025,8.51,0.7879,0.8116,1,8,29,1,0.4612,-0.952,8.18,7298,0
PLAN000000684,2015,2,STATE_SENATE,56160,-5.762,40486,37272,48.1,0.4004,0.7848,1,0,49,0,0.8239,1.991,56.84,22624,0
PLAN000000685,2018,28,JUDICIAL,875957,7.287,617848,485383,59.99,0.6954,0.1733,1,18,49,0,0.1645,15.828,46.95,23322,0
PLAN000000686,2018,59,STATE_HOUSE,503732,6.509,395418,360671,51.86,0.7222,0.4316,1,18,66,1,0.4626,32.574,96.28,16033,0
PLAN000000687,1993,22,STATE_SENATE,383520,-7.629,310232,279504,81.36,0.3737,0.1261,1,15,25,0,0.6551,-29.803,21.6,16349,0
PLAN000000688,2002,23,CITY,242238,7.336,180974,163826,18.59,0.7771,0.6795,1,10,47,0,0.2203,17.995,80.2,10631,0
PLAN000000689,2016,53,SCHOOL,462844,-0.443,350584,331707,16.12,0.7866,0.4977,1,4,1,0,0.8828,8.374,46.47,7127,0
PLAN000000690,1993,19,STATE_HOUSE,615916,-4.375,476036,405730,85.53,0.3242,0.3744,0,16,35,1,0.7411,-18.173,46.45,21482,0
PLAN000000691,2014,2,STATE_SENATE,864944,-1.819,665899,583721,84.82,0.1965,0.4972,1,8,50,1,0.4442,-7.884,28.98,19366,0
PLAN000000692,2018,56,SCHOOL,211670,3.014,158507,146345,77.13,0.3349,0.6628,1,13,30,0,0.5274,28.44,4.97,23792,0
PLAN000000693,2013,19,CITY,915937,-6.178,732451,643535,85.26,0.3684,0.6789,1,3,17,0,0.8126,33.804,43.45,21080,0
PLAN000000694,2003,54,STATE_HOUSE,142186,-7.826,96739,76288,57.28,0.3605,0.6854,1,13,58,1,0.6091,2.529,96.87,20871,0
PLAN000000695,2013,37,CONGRESSIONAL,11056,-0.939,8231,7549,92.6,0.1396,0.587,1,15,50,0,0.6927,25.608,13.62,4081,0
PLAN000000696,2013,44,CONGRESSIONAL,244770,0.838,197807,176607,45.79,0.1382,0.3367,1,6,9,0,0.1684,38.727,23.84,22619,0
PLAN000000697,2013,13,CONGRESSIONAL,353391,-0.021,263421,221062,16.87,0.1617,0.4576,1,0,51,0,0.6762,12.199,20.91,921,1
PLAN000000698,2019,27,STATE_HOUSE,358177,7.778,274297,246732,37.5,0.1544,0.399,1,10,25,0,0.3404,-15.957,37.47,11738,0
PLAN000000699,2005,34,STATE_SENATE,35994,6.323,28474,23196,13.69,0.6004,0.5585,1,1,30,0,0.0991,3.656,94.24,3566,0
PLAN000000700,1999,60,CONGRESSIONAL,298009,-6.461,242449,200274,22.82,0.4413,0.6023,1,4,52,1,0.5348,-11.334,74.86,16074,0
PLAN000000701,1993,50,STATE_SENATE,886633,-4.899,702611,552445,13.14,0.3974,0.6079,1,4,68,0,0.8241,26.475,72.05,11294,0
PLAN000000702,1993,53,JUDICIAL,934631,-4.142,717695,567817,52.43,0.6249,0.3074,1,16,16,0,0.6601,-3.2,30.79,6362,0
PLAN000000703,2009,19,CONGRESSIONAL,5667,-3.655,4197,3520,60.05,0.7455,0.3166,1,18,64,0,0.6599,-11.063,46.19,10605,0
PLAN000000704,2005,11,STATE_HOUSE,909260,2.65,636185,505568,83.11,0.6281,0.7697,1,11,45,0,0.2945,23.554,46.53,22657,1
PLAN000000705,1998,45,CITY,546483,7.897,421279,356368,34.47,0.5334,0.0819,1,2,37,1,0.1572,-0.243,83.46,19089,1
PLAN000000706,2014,25,STATE_HOUSE,543905,-5.584,429607,357498,56.6,0.4399,0.7248,1,7,34,1,0.0241,-37.439,30.29,2927,0
PLAN000000707,2009,22,JUDICIAL,916713,-6.423,630483,533657,63.75,0.4189,0.1338,1,6,66,0,0.4681,22.475,88.66,7335,0
PLAN000000708,1994,20,SCHOOL,515544,3.304,359728,316426,44.27,0.0955,0.5526,1,10,76,0,0.2295,23.695,11.23,24309,0
PLAN000000709,1991,51,JUDICIAL,695908,-7.868,480623,391071,76.76,0.698,0.7096,1,16,72,0,0.0763,-21.913,28.73,21551,0
PLAN000000710,1991,29,CITY,310898,5.323,214636,168597,94.2,0.4514,0.6035,1,15,8,0,0.708,20.495,7.55,4286,1
PLAN000000711,2009,55,STATE_HOUSE,842917,6.53,690382,588980,85.9,0.579,0.5693,1,18,71,0,0.4044,13.986,9.03,14961,0
PLAN000000712,1998,31,SCHOOL,388554,0.137,284109,261973,56.02,0.492,0.1457,1,6,3,0,0.7853,10.772,49.05,5535,0
PLAN000000713,2011,23,STATE_SENATE,80280,7.035,59263,55498,79.96,0.7522,0.2659,1,6,70,1,0.384,-36.809,66.11,3490,1
PLAN000000714,2016,8,STATE_HOUSE,60535,-2.058,45314,35716,14.5,0.1843,0.5751,0,13,68,0,0.3139,-27.424,25.82,3541,0
PLAN000000715,1996,9,CITY,802658,2.282,616312,497913,28.75,0.2422,0.3803,1,13,61,1,0.6498,-5.467,22.9,23629,0
PLAN000000716,1993,39,SCHOOL,156564,7.963,126326,111918,80.4,0.5622,0.0624,1,4,59,0,0.7774,2.198,78.55,6513,0
PLAN000000717,2005,25,STATE_SENATE,417440,7.453,332107,317472,5.26,0.0962,0.4028,0,3,31,0,0.178,36.139,48.31,13457,0
PLAN000000718,2003,1,STATE_SENATE,414021,-6.291,312846,281533,65.1,0.3563,0.4459,1,18,40,0,0.7989,-5.382,80.74,16727,0
PLAN000000719,2014,3,CONGRESSIONAL,690326,7.301,506811,409828,17.31,0.5568,0.5189,1,16,47,0,0.0769,20.865,2.36,7695,1
PLAN000000720,1995,37,STATE_SENATE,177757,-0.273,145035,117619,94.38,0.4012,0.508,1,12,16,0,0.8914,35.423,94.28,1701,0
PLAN000000721,1997,45,STATE_SENATE,160037,-5.295,112436,103376,6.78,0.0771,0.4742,1,9,66,0,0.4627,-12.1,67.26,3782,0
PLAN000000722,2010,16,SCHOOL,919910,4.302,727211,600825,91.36,0.2355,0.1754,1,6,53,0,0.0361,17.251,21.67,24463,0
PLAN000000723,2016,41,STATE_SENATE,598219,-3.167,411537,358074,24.26,0.1212,0.3408,1,13,11,0,0.2753,-19.941,80.76,7005,1
PLAN000000724,1994,1,STATE_SENATE,609631,-5.546,460879,396902,51.74,0.3083,0.5918,1,11,54,0,0.7333,24.935,40.35,12670,0
PLAN000000725,2013,19,SCHOOL,68988,-1.636,53379,48282,83.35,0.4909,0.3289,1,5,15,1,0.0946,24.231,43.33,20028,1
PLAN000000726,1997,41,STATE_SENATE,897878,-3.988,715617,682823,69.48,0.5048,0.8476,1,3,67,0,0.0231,36.278,61.51,19790,0
PLAN000000727,1990,4,CITY,628817,-0.018,513268,488217,67.95,0.0312,0.586,1,16,50,1,0.3275,33.526,11.1,2110,0
PLAN000000728,2012,33,SCHOOL,209965,0.467,154822,143830,70.9,0.5675,0.5283,0,20,65,1,0.3328,21.396,0.29,21754,0
PLAN000000729,1991,26,SCHOOL,899714,-0.142,666284,558473,77.25,0.6435,0.3274,1,7,2,1,0.1995,-8.308,70.78,9312,0
PLAN000000730,2001,23,CITY,816588,5.677,650564,531560,22.71,0.6823,0.1324,0,16,53,0,0.1095,-20.638,63.78,3350,0
PLAN000000731,1996,15,STATE_SENATE,285776,6.958,226512,198277,70.54,0.6531,0.1505,1,12,18,0,0.9429,-35.913,66.48,13640,0
PLAN000000732,2023,15,STATE_HOUSE,230096,-4.418,164533,149246,92.25,0.5438,0.4878,1,8,38,0,0.1631,1.311,76.55,10054,0
PLAN000000733,1999,42,JUDICIAL,894728,4.134,659998,565136,9.99,0.6667,0.4254,1,5,50,0,0.1291,-24.935,94.02,18673,0
PLAN000000734,2025,46,STATE_SENATE,85788,4.549,63414,60799,76.15,0.0532,0.0368,1,18,11,0,0.7257,-8.533,11.57,15762,0
PLAN000000735,2007,48,STATE_HOUSE,362823,-0.868,282338,256618,26.88,0.4392,0.7242,1,4,52,0,0.0989,13.066,66.77,12222,0
PLAN000000736,2015,22,STATE_SENATE,815485,0.826,664723,633403,42.97,0.4034,0.2335,1,8,29,0,0.7833,10.637,42.28,12471,1
PLAN000000737,1996,57,STATE_SENATE,674017,-3.584,498614,471236,25.44,0.134,0.3881,1,3,5,0,0.6853,-17.715,2.7,10166,0
PLAN000000738,2003,19,SCHOOL,448018,-4.316,311137,287304,77.91,0.1891,0.6356,1,17,16,0,0.7554,-34.649,76.91,23626,0
PLAN000000739,2024,29,STATE_SENATE,356697,-3.944,257721,231410,79.96,0.3928,0.7741,1,8,67,0,0.6453,-32.134,31.99,16910,0
PLAN000000740,2022,7,SCHOOL,316422,-3.017,255236,224404,1.76,0.5957,0.0495,1,4,65,0,0.8704,-7.807,0.87,7155,0
PLAN000000741,2001,42,STATE_HOUSE,213064,-5.988,159607,135258,21.57,0.3289,0.3653,1,7,50,0,0.9628,27.363,93.24,2845,0
PLAN000000742,2021,59,STATE_HOUSE,667275,1.345,511666,462312,8.45,0.4342,0.7733,1,7,29,0,0.2454,36.144,31.08,12837,0
PLAN000000743,2007,51,CITY,237314,6.271,182020,164306,39.15,0.1656,0.243,1,3,42,0,0.0767,-4.832,10.46,12593,0
PLAN000000744,2020,26,CONGRESSIONAL,926464,3.63,748861,688004,64.22,0.6924,0.1706,1,13,4,1,0.3066,-35.77,67.77,4630,0
PLAN000000745,1997,22,STATE_HOUSE,444594,7.718,303309,272059,2.87,0.5575,0.6852,1,18,28,0,0.7503,16.112,62.61,19610,0
PLAN000000746,2004,1,CONGRESSIONAL,885360,7.181,702003,626465,10.55,0.1024,0.5107,1,7,17,1,0.6133,38.518,90.95,7849,0
PLAN000000747,2000,35,CONGRESSIONAL,837639,5.386,647501,540609,71.32,0.3527,0.3843,1,8,21,0,0.2514,-34.152,79.15,15345,0
PLAN000000748,1994,12,STATE_SENATE,710770,4.592,570044,475302,60.38,0.1009,0.3744,1,6,24,1,0.5346,-30.074,18.42,18308,0
PLAN000000749,2019,28,SCHOOL,456550,5.367,330363,302766,43.53,0.7643,0.3734,1,19,72,0,0.4139,2.438,33.09,23940,0
PLAN000000750,2001,15,STATE_HOUSE,104800,1.339,77138,60196,13.27,0.1437,0.1863,1,15,5,0,0.3141,-38.747,50.47,14181,0
PLAN000000751,1996,24,STATE_HOUSE,669990,-1.408,475347,442780,58.99,0.0967,0.0705,1,2,55,1,0.4388,1.781,60.87,16821,0
PLAN000000752,2017,1,SCHOOL,631168,2.927,506754,438945,72.94,0.2806,0.2721,0,3,37,0,0.0006,19.148,18.11,10988,1
PLAN000000753,1990,54,CONGRESSIONAL,859963,4.721,701938,592196,91.12,0.7783,0.8142,1,17,7,1,0.813,19.702,86.36,21934,0
PLAN000000754,2010,59,STATE_HOUSE,825925,-1.245,595518,564239,70.07,0.4638,0.3834,1,20,55,1,0.8551,20.762,83.96,21064,0
PLAN000000755,2022,13,CONGRESSIONAL,730451,-7.047,498388,389593,50.21,0.2119,0.514,1,9,13,0,0.7502,-26.531,35.26,12822,0
PLAN000000756,1996,11,SCHOOL,216877,-0.297,150814,120339,59.41,0.6711,0.5857,1,17,31,1,0.7058,-8.15,8.08,24479,0
PLAN000000757,2000,21,STATE_HOUSE,876805,-6.693,696979,578822,37.95,0.3245,0.2102,1,12,49,0,0.929,-8.607,67.68,17374,0
PLAN000000758,2015,43,STATE_HOUSE,533755,7.307,401182,366099,50.76,0.2807,0.6964,1,0,34,1,0.1464,1.201,95.18,6316,1
PLAN000000759,2011,48,SCHOOL,126253,4.264,92768,86100,5.24,0.3752,0.0817,1,2,18,1,0.461,-12.988,31.37,11258,0
PLAN000000760,1997,24,STATE_HOUSE,507211,5.536,364106,304912,40.99,0.1262,0.5643,1,10,0,0,0.0693,29.656,34.18,12412,0
PLAN000000761,1999,18,SCHOOL,133176,6.723,105603,90717,94.24,0.0292,0.4392,1,19,79,0,0.3601,7.703,17.33,3761,0
PLAN000000762,2022,31,CONGRESSIONAL,606574,-1.137,492051,419249,39.31,0.2951,0.3723,1,0,7,0,0.6564,-0.727,92.03,1446,0
PLAN000000763,1995,46,STATE_SENATE,273203,-6.393,220476,203603,28.57,0.0276,0.817,0,15,49,0,0.12,-1.976,7.03,15132,0
PLAN000000764,1993,42,STATE_HOUSE,203284,3.77,147764,126322,15.2,0.4917,0.3369,1,3,39,0,0.5344,14.953,87.11,9557,0
PLAN000000765,1992,8,SCHOOL,502104,1.092,385421,351322,3.83,0.3679,0.027,1,9,6,0,0.8594,-21.627,16.3,23012,0
PLAN000000766,1994,29,SCHOOL,257606,-4.339,181467,146406,9.92,0.1381,0.0861,1,10,37,1,0.6076,-20.66,67.6,6670,1
PLAN000000767,2016,10,STATE_SENATE,406619,7.362,318044,262793,1.79,0.1642,0.3671,1,11,59,0,0.0806,27.492,97.24,22237,0
PLAN000000768,2001,26,CITY,472674,-2.062,364458,331688,88.78,0.3417,0.3046,1,1,10,1,0.3794,18.75,89.88,24531,0
PLAN000000769,2018,53,STATE_HOUSE,538521,-1.998,376838,347409,10.28,0.0562,0.6737,1,6,77,0,0.1629,-33.389,5.29,5970,0
PLAN000000770,2007,6,JUDICIAL,516759,0.67,404835,355462,45.39,0.2208,0.2677,1,9,70,1,0.3315,9.08,67.43,16115,0
PLAN000000771,1993,57,SCHOOL,284144,-5.419,209083,179619,82.69,0.4241,0.6635,1,17,65,0,0.792,35.912,65.53,8753,0
PLAN000000772,1990,51,STATE_SENATE,439176,5.814,342772,267416,67.03,0.5414,0.2883,1,19,76,0,0.2313,-20.828,92.12,15174,0
PLAN000000773,1995,21,CITY,295796,-2.439,213475,198840,62.41,0.7807,0.5697,1,14,78,1,0.7636,-22.846,45.15,16190,1
PLAN000000774,2006,40,STATE_HOUSE,489590,6.349,367748,343651,57.38,0.7547,0.4266,1,13,69,0,0.6699,28.349,31.84,20444,0
PLAN000000775,1990,33,CITY,126921,4.282,101412,88967,67.34,0.1303,0.5055,1,1,7,0,0.7546,22.468,89.88,8008,0
PLAN000000776,1994,25,SCHOOL,613726,-0.311,480760,449237,30.84,0.4571,0.2457,1,5,41,0,0.8721,16.501,4.48,13147,0
PLAN000000777,2001,29,STATE_HOUSE,882772,-7.872,693357,644496,34.99,0.514,0.2046,1,20,22,1,0.2492,38.95,50.56,17350,0
PLAN000000778,1992,54,STATE_HOUSE,177817,0.266,143488,120813,19.82,0.7671,0.2153,1,4,73,0,0.578,37.765,20.16,20376,1
PLAN000000779,2006,37,SCHOOL,609497,0.147,486504,430292,57.02,0.5233,0.4885,1,12,60,0,0.604,36.298,10.36,10330,1
PLAN000000780,1991,59,STATE_HOUSE,257278,-4.041,198044,189637,5.43,0.6883,0.7753,1,2,39,0,0.672,-1.935,52.55,20343,0
PLAN000000781,2014,30,CITY,744460,0.507,570187,516875,32.34,0.1097,0.5029,1,8,7,0,0.0319,35.122,93.71,4112,0
PLAN000000782,2020,54,STATE_HOUSE,226351,7.851,175024,160868,83.99,0.6516,0.3637,1,12,26,0,0.2233,13.983,27.5,23008,1
PLAN000000783,1993,20,STATE_HOUSE,274771,3.391,191709,174552,36.06,0.3085,0.6749,1,12,64,1,0.2502,-31.677,45.56,23456,0
PLAN000000784,2006,17,SCHOOL,205600,-0.601,144539,113219,91.35,0.7672,0.723,0,15,16,1,0.9096,-26.235,39.83,20007,0
PLAN000000785,2021,20,CITY,551191,-2.335,390610,324492,58.63,0.2205,0.8332,1,20,26,0,0.8056,13.078,89.06,13076,0
PLAN000000786,2006,37,CONGRESSIONAL,816477,3.219,580412,534377,30.36,0.7253,0.5513,0,12,40,0,0.7839,-24.08,97.8,12860,0
PLAN000000787,1992,56,STATE_SENATE,653527,-2.344,528853,465695,10.9,0.2529,0.2392,1,2,52,0,0.2802,38.132,69.33,11127,1
PLAN000000788,1996,43,STATE_HOUSE,233058,-1.465,190042,167442,1.9,0.7489,0.6274,1,4,38,1,0.2014,-10.577,66.23,11417,0
PLAN000000789,1998,37,STATE_SENATE,392627,6.61,319091,251664,85.49,0.1116,0.2369,1,0,34,0,0.8761,-5.844,14.1,16667,0
PLAN000000790,2010,30,CITY,164162,-1.099,129749,119352,19.7,0.3716,0.4127,1,20,42,0,0.771,-7.841,43.92,19691,0
PLAN000000791,2006,58,JUDICIAL,631292,4.141,445789,415181,81.29,0.1944,0.7358,1,13,59,1,0.0767,16.25,79.32,15919,0
PLAN000000792,1992,24,CONGRESSIONAL,290512,-0.911,224870,182094,85.23,0.7957,0.5978,1,18,29,0,0.3228,-16.352,53.68,17055,0
PLAN000000793,1993,56,CONGRESSIONAL,718628,-7.491,580730,502924,20.61,0.2003,0.736,1,11,5,0,0.43,11.363,43.06,2011,0
PLAN000000794,2005,5,CONGRESSIONAL,499636,-7.901,341438,310871,1.86,0.6824,0.4479,1,13,17,0,0.7484,-5.685,26.6,12700,0
PLAN000000795,2014,59,STATE_HOUSE,759354,-6.727,519336,408422,54.86,0.1789,0.6645,1,9,61,0,0.5935,34.965,45.17,6751,0
PLAN000000796,2025,42,STATE_SENATE,906623,1.683,670081,564271,22.56,0.7046,0.5416,1,3,39,0,0.1222,30.016,54.86,6774,1
PLAN000000797,2011,28,JUDICIAL,202052,-2.351,159503,146310,46.15,0.624,0.2055,1,13,74,0,0.4904,0.292,2.72,13970,0
PLAN000000798,2019,14,STATE_HOUSE,518014,2.063,358705,326956,4.11,0.1136,0.8273,1,19,18,0,0.1678,24.131,51.64,1803,0
PLAN000000799,1995,52,STATE_SENATE,156483,-6.97,125444,108265,60.69,0.7835,0.2585,1,13,52,0,0.1659,18.406,76.25,14534,0
PLAN000000800,2021,28,CONGRESSIONAL,418167,-5.575,324953,282165,54.8,0.13,0.3817,0,12,69,0,0.4121,-10.781,52.8,750,0
PLAN000000801,2015,30,CONGRESSIONAL,559006,5.686,444054,378623,13.08,0.4119,0.7791,1,12,35,0,0.1804,30.786,96.17,17099,0
PLAN000000802,1993,40,CITY,109735,-3.224,83172,74090,23.89,0.3927,0.8206,1,20,28,1,0.9413,9.838,30.12,7849,0
